,TSMOM
1993-03-31,0.0
1993-04-30,0.0
1993-05-28,0.0
1993-06-30,0.0
1993-07-30,0.0
1993-08-31,0.0
1993-09-30,0.0
1993-10-29,0.0
1993-11-30,0.0
1993-12-31,0.0
1994-01-31,0.0
1994-02-28,-0.039504499438808426
1994-03-31,-0.047732991756553426
1994-04-29,0.011760643889476048
1994-05-31,0.01565912292719131
1994-06-30,-0.023069095891554665
1994-07-29,0.030584202464709186
1994-08-31,0.038674154211540517
1994-09-30,-0.026728860650252154
1994-10-31,0.02930706373844479
1994-11-30,-0.03846247932411741
1994-12-30,0.006644441522852653
1995-01-31,-0.03340327929140157
1995-02-28,-0.04139432013924348
1995-03-31,0.02720218075125073
1995-04-28,0.031968977509760424
1995-05-31,0.04514928767960019
1995-06-30,0.020857289796563785
1995-07-31,0.033478736658866505
1995-08-31,0.004568622269035653
1995-09-29,0.047668819694717625
1995-10-31,-0.0034992642848982024
1995-11-30,0.05231581963238549
1995-12-29,0.018590216376758513
1996-01-31,0.039072908331278106
1996-02-29,0.003180655814478198
1996-03-29,0.016109081377676825
1996-04-30,0.00887674461775812
1996-05-31,0.01900196772905022
1996-06-28,0.007396540875623156
1996-07-31,-0.040122715795571806
1996-08-30,0.014351394547091417
1996-09-30,0.04268816917476044
1996-10-31,0.0257843793685755
1996-11-29,0.0611104490559871
1996-12-31,-0.020749552017073545
1997-01-31,0.048300080217906695
1997-02-28,0.007399120758313651
1997-03-31,-0.03258026056610629
1997-04-30,0.04229542296822266
1997-05-30,0.03796206772691262
1997-06-30,0.024934888306713456
1997-07-31,0.047762933111558784
1997-08-29,-0.031358839684100824
1997-09-30,0.027221597332885036
1997-10-31,-0.01378576496786117
1997-11-28,0.016164771098088223
1997-12-31,0.008384195581498435
1998-01-30,0.005940334847260644
1998-02-27,0.0327599352362428
1998-03-31,0.024885401034225638
1998-04-30,0.007089732609965306
1998-05-29,-0.01199910147620083
1998-06-30,0.025536076292708328
1998-07-31,-0.007852715385359829
1998-08-31,-0.08237483409175413
1998-09-30,0.027578870552781316
1998-10-30,0.03045335267063018
1998-11-30,0.020838164322279792
1998-12-31,0.02598936344710519
1999-01-29,0.014451033297596979
1999-02-26,-0.01333195558564952
1999-03-31,0.0177195326155171
1999-04-30,0.016653735899852154
1999-05-28,-0.010399980483391504
1999-06-30,0.02584645445347565
1999-07-30,-0.015473985587305549
1999-08-31,-0.0027700197312902548
1999-09-30,-0.012001329597580764
1999-10-29,0.03417229624225231
1999-11-30,0.008283697450693232
1999-12-31,0.030908398010053965
2000-01-31,-0.02893071834235463
2000-02-29,-0.007155284405941803
2000-03-31,0.04514391050313859
2000-04-28,-0.015596367737115625
2000-05-31,-0.0062745694539679325
2000-06-30,0.007809919248161386
2000-07-31,-0.006747113096990977
2000-08-31,0.029279928270708473
2000-09-29,-0.027244881592367973
2000-10-31,-0.002411069347754153
2000-11-30,-0.0349105108231517
2000-12-29,-0.0024370417965692056
2001-01-31,-0.020076095644350634
2001-02-28,0.04128362894920988
2001-03-30,-0.025563988187880193
2001-04-30,-0.03554427181661453
2001-05-31,0.0021573527328542443
2001-06-29,0.021078936310096687
2001-07-31,0.025799945851470114
2001-08-31,0.017081994367519795
2001-09-28,0.10209870270966363
2001-10-31,-0.03098617547880894
2001-11-30,-0.06463208362773841
2001-12-31,-0.02522948581995398
2002-01-31,0.0032272515882819457
2002-02-28,0.02181625521235931
2002-03-28,0.016118500470112113
2002-04-30,-0.025804850817100967
2002-05-31,-0.02064214264061594
2002-06-28,0.010697208816553443
2002-07-31,-0.024691349507103687
2002-08-30,-0.0011272801692596055
2002-09-30,0.06619274603904235
2002-10-31,-0.05927614728215578
2002-11-29,-0.06823462494456789
2002-12-31,0.050969318665637385
2003-01-31,0.03289602703334331
2003-02-28,0.025150672463412408
2003-03-31,0.007994818256747483
2003-04-30,-0.1192976392492356
2003-05-30,-0.09955848588288185
2003-06-30,-0.019058348506305035
2003-07-31,-0.047208454109193256
2003-08-29,0.05022516923632854
2003-09-30,0.10204429293494324
2003-10-31,0.07945279351965334
2003-11-28,0.025770317511033602
2003-12-31,0.09729843740994638
2004-01-30,0.03154193300768163
2004-02-27,0.049256848258383674
2004-03-31,0.02063005067801153
2004-04-30,-0.12606319861480939
2004-05-28,0.009798939464586622
2004-06-30,0.01926543546820298
2004-07-30,-0.05516817743790881
2004-08-31,0.06585625242319174
2004-09-30,0.047773008757807434
2004-10-29,0.05029688375479113
2004-11-30,0.047717134876827064
2004-12-31,0.07303479680418105
2005-01-31,0.0029302241145385387
2005-02-28,0.023526911146105008
2005-03-31,-0.05472358148905556
2005-04-29,-0.02198653316350521
2005-05-31,0.06000841238584574
2005-06-30,0.04447650117946884
2005-07-29,0.02109903528380773
2005-08-31,0.04578632665080398
2005-09-30,-0.007334058868743487
2005-10-31,-0.07172724310190037
2005-11-30,0.05747978032135966
2005-12-30,0.06218050810618849
2006-01-31,0.07878834746097313
2006-02-28,0.0006005454022181406
2006-03-31,-0.0021998645411129615
2006-04-28,0.033284041602520624
2006-05-31,-0.054760690485263046
2006-06-30,-0.012574153695427881
2006-07-31,-0.029438188648500032
2006-08-31,-0.02777209752397157
2006-09-29,-0.022206181679679794
2006-10-31,0.04577770748939167
2006-11-30,0.06787811240281658
2006-12-29,-0.009361019766064316
2007-01-31,0.004264950435893901
2007-02-28,0.03601912324190271
2007-03-30,0.02218383599043097
2007-04-30,0.051764259754694716
2007-05-31,-0.00674112154368029
2007-06-29,-0.018104707446387796
2007-07-31,0.01296965634595214
2007-08-31,0.028113864699721033
2007-09-28,0.11051628049385602
2007-10-31,0.08664297073481625
2007-11-30,0.011260316781468459
2007-12-31,0.015650944913832614
2008-01-31,0.0677157539722
2008-02-29,0.06915188946794894
2008-03-31,0.016943715849959833
2008-04-30,-0.042297079008515114
2008-05-30,-0.024628505822840024
2008-06-30,0.06664407149213929
2008-07-31,-0.023581881414141317
2008-08-29,-0.07887653727686532
2008-09-30,-0.044806517945439744
2008-10-31,0.07305816233537007
2008-11-28,0.12697354381606735
2008-12-31,-0.042593661515078485
2009-01-30,0.0192736889675073
2009-02-27,0.033358517277156434
2009-03-31,-0.048888606986929685
2009-04-30,-0.09776429275425594
